Latitude (decimal degrees):	49.573
Longitude (decimal degrees):	11.029
Elevation (m):	297
Radiation database:	PVGIS-SARAH2


Slope: 90 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,-0.66,0.41,0.0
20200101:0110,0.0,0.0,-2.0,1.1,0.0
20200101:0210,0.0,0.0,-2.14,1.1,0.0
20200101:0310,0.0,0.0,-2.48,1.24,0.0
20200101:0410,0.0,0.0,-2.38,1.31,0.0
20200101:0510,0.0,0.0,-2.7,1.31,0.0
20200101:0610,0.0,0.0,-2.71,1.45,0.0
20200101:0710,0.0,0.0,-2.85,1.72,0.0
20200101:0810,216.51,6.24,-2.79,1.52,0.0
20200101:0910,679.84,12.01,-0.76,1.17,0.0
20200101:1010,827.85,15.84,0.32,1.38,0.0
20200101:1110,889.1,17.39,1.29,1.31,0.0
20200101:1210,876.08,16.52,2.19,1.24,0.0
20200101:1310,785.87,13.3,2.48,1.31,0.0
20200101:1410,557.23,8.03,2.03,1.52,0.0
20200101:1510,0.0,0.0,0.71,2.0,0.0
20200101:1610,0.0,0.0,-0.53,2.0,0.0
20200101:1710,0.0,0.0,-1.21,2.0,0.0
20200101:1810,0.0,0.0,-1.73,1.93,0.0
20200101:1910,0.0,0.0,-2.04,1.79,0.0
20200101:2010,0.0,0.0,-2.53,1.79,0.0
20200101:2110,0.0,0.0,-2.92,1.72,0.0
20200101:2210,0.0,0.0,-3.15,1.66,0.0
20200101:2310,0.0,0.0,-3.19,1.52,0.0
20200102:0010,0.0,0.0,-3.37,1.52,0.0
20200102:0110,0.0,0.0,-3.44,1.52,0.0
20200102:0210,0.0,0.0,-3.43,1.52,0.0
20200102:0310,0.0,0.0,-3.53,1.52,0.0
20200102:0410,0.0,0.0,-3.56,1.59,0.0
20200102:0510,0.0,0.0,-3.55,1.59,0.0
20200102:0610,0.0,0.0,-3.46,1.45,0.0
20200102:0710,0.0,0.0,-4.07,1.66,0.0
20200102:0810,48.67,6.27,-3.66,1.38,0.0
20200102:0910,87.22,12.05,-2.07,1.31,0.0
20200102:1010,74.66,15.9,-1.28,1.24,0.0
20200102:1110,48.48,17.48,-0.35,1.1,0.0
20200102:1210,38.3,16.62,0.74,1.1,0.0
20200102:1310,38.3,13.41,1.62,1.1,0.0
20200102:1410,31.13,8.16,1.55,0.76,0.0
20200102:1510,0.0,0.0,1.0,1.45,0.0
20200102:1610,0.0,0.0,-0.6,1.86,0.0
20200102:1710,0.0,0.0,-1.1,1.72,0.0
